availability_365,calculated_host_listings_count,longitude,room_type,Price
364.0,2.0,-73.92913,2.0,50
0.0,1.0,-73.93325,1.0,125
198.0,1.0,-73.91492,0.0,75
330.0,3.0,-73.95517,0.0,100
0.0,1.0,-73.96034,1.0,130
0.0,1.0,-73.87463,1.0,100
125.0,1.0,-73.97279,1.0,270
0.0,1.0,-73.95702,0.0,48
59.0,3.0,-73.99498,0.0,130
0.0,1.0,-73.94185,1.0,200
249.0,1.0,-73.95244,0.0,43
83.0,1.0,-73.90204,0.0,60
340.0,2.0,-73.93142,1.0,130
0.0,1.0,-74.00606,1.0,275
130.0,1.0,-73.83752,1.0,79
236.0,2.0,-73.9172,0.0,48
302.0,3.0,-73.94848,1.0,450
108.0,1.0,-73.99597,1.0,639
0.0,1.0,-73.93108,0.0,40
71.0,1.0,-73.92496,0.0,51
281.0,1.0,-74.01153,0.0,52
323.0,2.0,-73.92172,0.0,65
326.0,65.0,-74.00313,1.0,188
0.0,1.0,-73.96439,0.0,120
235.0,5.0,-73.83928,0.0,58
0.0,2.0,-73.97833,0.0,60
3.0,3.0,-73.99331,0.0,115
43.0,1.0,-74.01798,1.0,199
0.0,1.0,-73.96478,1.0,290
365.0,121.0,-73.99762,1.0,275
341.0,1.0,-73.95564,0.0,60
350.0,7.0,-74.00552,0.0,60
295.0,2.0,-73.89163,0.0,50
0.0,1.0,-73.94893,0.0,75
16.0,1.0,-73.94307,1.0,82
134.0,2.0,-73.81867,1.0,150
0.0,1.0,-73.96283,2.0,99
0.0,1.0,-73.96736,0.0,65
69.0,1.0,-73.96066,1.0,100
33.0,2.0,-73.89873,1.0,72
29.0,1.0,-73.93087,0.0,50
63.0,3.0,-73.94822,0.0,81
0.0,2.0,-73.9262,1.0,120
0.0,2.0,-73.93369,1.0,95
0.0,1.0,-73.99487,1.0,119
78.0,1.0,-73.9796,1.0,220
91.0,3.0,-73.9958,0.0,122
351.0,47.0,-73.99539,0.0,55
342.0,3.0,-73.96114,1.0,218
118.0,1.0,-73.97092,1.0,150
147.0,1.0,-73.95981,1.0,212
125.0,2.0,-73.94736,0.0,69
0.0,1.0,-73.98233,1.0,150
0.0,1.0,-73.98568,1.0,70
44.0,1.0,-74.00307,1.0,235
6.0,1.0,-73.91689,1.0,78
40.0,1.0,-73.94357,1.0,150
72.0,2.0,-73.97456,0.0,89
0.0,1.0,-74.00378,1.0,200
0.0,1.0,-73.93656,1.0,175
319.0,1.0,-73.94977,0.0,80
0.0,2.0,-73.91836,0.0,50
159.0,1.0,-73.94286,1.0,150
0.0,1.0,-73.95808,0.0,75
6.0,1.0,-73.99995,0.0,100
363.0,2.0,-73.96592,2.0,50
272.0,1.0,-73.98397,0.0,135
311.0,34.0,-73.94063,0.0,65
179.0,1.0,-73.92756,2.0,50
5.0,1.0,-73.99431,1.0,390
0.0,1.0,-73.9756,1.0,95
31.0,1.0,-73.92417,0.0,52
19.0,1.0,-73.93729,1.0,162
174.0,1.0,-73.92183,0.0,45
179.0,2.0,-74.02786,0.0,79
0.0,1.0,-73.95639,0.0,60
27.0,1.0,-73.99487,0.0,76
246.0,1.0,-73.9624,0.0,99
